gene_index	gene_name
12154	Nbl1
12158	Ncam1
12171	Nceh1
12172	Ncf1
12173	Ncf2
12179	Nckap5
12193	Ncr1
12209	Ndrg2
12224	Ndufa4l2
12258	Neat1
12296	Nes
12298	Net1
12306	Neurl1b
12316	Nexn
12326	Nfatc4
12327	Nfe2
12331	Nfia
12332	Nfib
12338	Nfkbia
12340	Nfkbid
12343	Nfkbiz
12353	Ngb
12360	Ngp
12370	Nhlrc4
12376	Niacr1
12378	Nid1
12382	Ninj1
12401	Nkain4
12404	Nkd1
12406	Nkg7
12413	Nkx2-1
12433	Nlrp12
12449	Nme5
12461	Nnat
12498	Nostrin
12500	Notch2
12501	Notch3
12503	Notum
12504	Nov
12508	Nox4
12520	Npc2
12538	Npnt
12542	Npr1
12544	Npr3
12564	Nr1d1
12567	Nr1h3
12577	Nr2f1
12578	Nr2f2
12582	Nr4a1
12583	Nr4a2
12590	Nrarp
12601	Nrgn
12608	Nrn1
12612	Nrp1
12613	Nrp2
12624	Nsg1
12643	Nt5dc2
12645	Nt5e
12651	Ntm
12652	Ntn1
12660	Ntrk2
12661	Ntrk3
12729	Nupr1
12731	Nusap1
12762	Oasl1
12763	Oasl2
12766	Oaz2
12786	Odf3b
12803	Ogn
12811	Olfm2
12816	Olfml2b
12817	Olfml3
12865	Olfr550
12891	Olr1
12932	Orm3
12943	Osbpl3
12955	Osm
12957	Osr1
12977	Otud1
13002	P2rx1
