gene_index	gene_name
9871	Irg1
9873	Irgm1
9874	Irgm2
9882	Irx3
9889	Isg15
9921	Itgae
9922	Itgal
9925	Itgax
9934	Itgb4
9937	Itgb7
9944	Itih5
9945	Itk
9946	Itln1
9947	Itm2a
9967	Iyd
9976	Jakmip1
9979	Jam2
10004	Jun
10005	Junb
10007	Jup
10011	Kank3
10025	Kbtbd11
10035	Kcna1
10036	Kcna2
10039	Kcna5
10042	Kcnab1
10047	Kcnc1
10056	Kcne3
10057	Kcne4
10065	Kcnh3
10076	Kcnj10
10079	Kcnj13
10081	Kcnj15
10086	Kcnj5
10088	Kcnj8
10090	Kcnk1
10095	Kcnk2
10105	Kcnmb4
10110	Kcnq1
10111	Kcnq1ot1
10128	Kctd12
10129	Kctd12b
10161	Kdm4d
10167	Kdm6b
10168	Kdr
10173	Kera
10194	Kif19a
10195	Kif1a
10224	Kifc5b
10232	Kiss1
10234	Kit
10235	Kitl
10251	Klf2
10253	Klf4
10254	Klf5
10255	Klf6
10281	Klhl21
10294	Klhl35
10297	Klhl4
10303	Klk1
10304	Klk10
10317	Klk1b27
10328	Klk8
10329	Klk9
10337	Klra18
10347	Klra7
10352	Klrb1b
10353	Klrb1c
10354	Klrb1f
10358	Klrd1
10359	Klre1
10360	Klrg1
10363	Klri2
10390	Krt14
10391	Krt15
10392	Krt16
10393	Krt17
10394	Krt18
10395	Krt19
10398	Krt222
10399	Krt23
10413	Krt4
10416	Krt5
10417	Krt6a
10419	Krt7
10426	Krt79
10427	Krt8
10479	LOC100038947
10503	LOC545261
10550	Laptm5
10559	Lars2
10567	Lat
10574	Lbp
10599	Lck
10602	Lcmt2
10608	Lcn2
10615	Lcp1
10629	Ldlrad2
10635	Lect1
10650	Lepr
10660	Lfng
10661	Lgals1
10664	Lgals3
10667	Lgals7
10670	Lgi1
10672	Lgi3
10674	Lgmn
10697	Lif
10702	Lilra5
10703	Lilra6
10705	Lilrb4
10708	Limch1
10711	Lime1
10732	Lipe
10733	Lipf
10750	Lman1l
10757	Lmcd1
10761	Lmna
10762	Lmnb1
10765	Lmo2
10769	Lmod1
10770	Lmod2
10771	Lmod3
10789	Loxl1
10792	Loxl4
10798	Lpar6
10800	Lpcat2
10811	Lpl
10812	Lpo
10827	Lrg1
10835	Lrmp
10852	Lrrc10b
10863	Lrrc23
10865	Lrrc25
10866	Lrrc26
10869	Lrrc29
10872	Lrrc32
10873	Lrrc33
10878	Lrrc3b
10890	Lrrc4c
10892	Lrrc51
10904	Lrrc8a
10908	Lrrc8e
10913	Lrriq1
10923	Lrrtm1
10926	Lrrtm4
10946	Lsp1
10949	Lst1
10952	Ltb
10955	Ltbp1
10956	Ltbp2
10958	Ltbp4
10960	Ltc4s
10961	Ltf
10968	Lum
10972	Ly6a
10973	Ly6c1
10974	Ly6c2
10975	Ly6d
10976	Ly6e
10978	Ly6g5b
10980	Ly6g6c
10983	Ly6g6f
10986	Ly6k
10988	Ly86
10993	Lyl1
10994	Lyn
10997	Lypd2
11001	Lypd6
11016	Lyve1
